ano,receita_bruta_anual,custos_operacionais,receita_liquida,investimento_total,valor_patrimonio,roi_pct
2025,1644750.0000000005,1180662.5,464087.50000000047,22770000.0,22770000.0,2.0381532718489264
2026,1718763.7500000005,1233792.3125,484971.43750000047,22770000.0,24136200.0,2.1298701690821273
2027,1796108.1187500001,1289312.9665624998,506795.15218750044,22770000.0,25584372.000000004,2.2257143266908233
